# t rg re1 re2
389 3.404467 9.703739 9.703739
390 3.357747 9.615928 9.615928
391 3.292894 9.187517 9.187517
392 3.139979 8.373740 8.373740
393 3.081913 8.928167 8.928167
394 3.193579 9.260016 9.260016
395 3.112113 8.978952 8.978952
396 2.776647 8.240266 8.240266
397 2.783003 6.954415 6.954415
398 2.904003 8.248418 8.248418
399 2.765777 8.199230 8.199230
400 2.782433 8.323898 8.323898
401 2.852809 8.205631 8.205631
402 3.087978 7.439668 7.439668
403 3.314328 7.722945 7.722945
404 3.490709 9.432146 9.432146
405 3.584095 9.365546 9.365546
406 3.782357 9.850540 9.850540
407 3.846826 10.443311 10.443311
408 4.090399 9.656218 9.656218
409 4.235260 9.672709 9.672709
410 4.363390 11.865295 11.865295
411 4.293763 12.637102 12.637102
412 4.359218 11.895000 11.895000
413 4.222987 10.236296 10.236296
414 3.873482 7.913331 7.913331
415 3.827528 8.687557 8.687557
416 3.816153 10.400203 10.400203
417 3.806524 11.758900 11.758900
418 4.022095 12.353125 12.353125
419 3.981849 13.155353 13.155353
420 3.909735 13.893684 13.893684
421 3.837189 13.009020 13.009020
422 3.627953 11.521650 11.521650
423 3.493402 11.029012 11.029012
424 3.284656 10.831226 10.831226
425 3.174939 10.018497 10.018497
426 3.201848 9.224855 9.224855
427 3.137913 7.561860 7.561860
428 3.002532 7.827109 7.827109
429 3.043472 9.855115 9.855115
430 3.300217 9.457023 9.457023
431 3.444503 8.986780 8.986780
432 3.464314 9.942275 9.942275
433 3.428342 9.690384 9.690384
434 3.250014 9.836836 9.836836
435 3.140598 8.013074 8.013074
436 3.454702 9.380320 9.380320
437 3.547928 11.298014 11.298014
438 3.395621 11.096990 11.096990
439 3.315503 10.388142 10.388142
440 3.390070 10.131036 10.131036
441 3.607927 11.208362 11.208362
442 3.829323 12.186964 12.186964
443 3.826696 12.057157 12.057157
444 3.826992 10.500888 10.500888
445 3.942238 10.358635 10.358635
446 3.999777 10.833384 10.833384
447 3.879611 9.769092 9.769092
448 3.798298 7.513574 7.513574
449 3.563951 6.692830 6.692830
450 3.667737 5.309419 5.309419
451 3.796966 6.384017 6.384017
452 3.720243 6.405564 6.405564
453 3.717380 5.915456 5.915456
454 3.838581 6.458512 6.458512
455 3.810927 6.467881 6.467881
456 3.758094 6.001498 6.001498
457 3.748298 7.311557 7.311557
458 3.727318 5.819409 5.819409
459 3.750730 6.169212 6.169212
460 3.732649 7.115847 7.115847
461 3.775323 7.680381 7.680381
462 3.999720 8.623041 8.623041
463 4.022143 8.644062 8.644062
